Code,Label,Year,Number of non-employing businesses,Number of employing businesses: 1-4 employees,Number of employing businesses: 5-19 employees,Number of employing businesses: 20 or more employees,Total number of businesses,Number of non-employing business entries,Number of employing business entries: 1-4 employees,Number of employing business entries: 5-19 employees,Number of employing business entries: 20 or more employees,Total number of business entries,Number of non-employing business exits,Number of employing business exits: 1-4 employees,Number of employing business exits: 5-19 employees,Number of employing business exits: 20 or more employees,Total number of business exits,"Agriculture, forestry and fishing (no.)",Mining (no.),Manufacturing (no.),"Electricity, gas, water and waste services (no.)",Construction (no.),Wholesale trade (no.),Retail trade (no.),Accommodation and food services (no.),"Transport, postal and warehousing (no.)",Information media and telecommunications (no.),Financial and insurance services (no.),"Rental, hiring and real estate services (no.)","Professional, scientific and technical services (no.)",Administrative and support services (no.),Public administration and safety (no.),Education and training (no.),Health care and social assistance (no.),Arts and recreation services (no.),Other services (no.),Currently unknown (no.),Number of businesses with turnover of zero to less than $50k,Number of businesses with turnover of $50k to less than $200k,Number of businesses with turnover of $200k to less than $2m,Number of businesses with turnover of $2m to less than $5m,Number of businesses with turnover of $5m to less than $10m,Number of businesses with turnover of $10m or more,Number of business entries with turnover of zero to less than $50k,Number of business entries with turnover of $50k to less than $200k,Number of business entries with turnover of $200k to less than $2m,Number of business entries with turnover of $2m to less than $5m,Number of business entries with turnover of $5m to less than $10m,Number of business entries with turnover of $10m or more,Number of business exits with turnover of zero to less than $50k,Number of business exits with turnover of $50k to less than $200k,Number of business exits with turnover of $200k to less than $2m,Number of business exits with turnover of $2m to less than $5m,Number of business exits with turnover of $5m to less than $10m,Number of business exits with turnover of $10m or more,Private sector houses (no.),Private sector dwellings excluding houses (no.),Total private sector dwelling units (no.),Total dwelling units (no.),Value of private sector houses ($m),Value of private sector dwellings excluding houses ($m),Total value of private sector dwelling units ($m),Value of residential building ($m),Value of non-residential building ($m),Value of total building ($m),Number of established house transfers (no.),Median price of established house transfers ($),Number of attached dwelling transfers (no.),Median price of attached dwelling transfers ($),Debtors entering business related personal insolvencies (no.),Debtors entering non-business related personal insolvencies (no.),Total debtors entering personal insolvencies (no.),Managers (no.),Professionals (no.),Technicians and trades workers (no.),Community and personal service workers (no.),Clerical and administrative workers (no.),Sales workers (no.),Machinery operators and drivers (no.),Labourers (no.),Debtors with other or unknown occupations (no.),Area of holding - total area (ha),Dairy cattle - total (no.),Meat cattle - total (no.),Sheep and lambs - total (no.),Pigs - total (no.),Meat chickens - total (no.),Broadacre crops - total area (ha),Vegetables - total area (ha),Orchard fruit trees and nut trees (produce intended for sale) - total area - (ha),Agricultural production - total gross value ($m),Crops - total gross value ($m),Livestock slaughtered and other disposals - total gross value ($m),"Agriculture, forestry and fishing (%)",Mining (%),Manufacturing (%),"Electricity, gas, water and waste services (%)",Construction (%),Wholesale trade (%),Retail trade (%),Accommodation and food services (%),"Transport, postal and warehousing (%)",Information media and telecommunications (%),Financial and insurance services (%),"Rental, hiring and real estate services (%)","Professional, scientific and technical services (%)",Administrative and support services (%),Public administration and safety (%),Education and training (%),Health care and social assistance (%),Arts and recreation services (%),Other services (%),Industry of employment inadequately described or not stated (%),Total persons employed aged 15 years and over (no.),Houses - additions (no.),Houses - removals (no.),Houses - total (no.),Townhouses - additions (no.),Townhouses - removals (no.),Townhouses - total (no.),Apartments - additions (no.),Apartments - removals (no.),Apartments - total (no.),Total dwelling additions (no.),Total dwelling removals (no.),Total dwellings (no.)
11603,Mount Druitt,2020.0,3773,1641,473,211,6098,-,-,-,-,-,-,-,-,-,-,29,3,264,36,1104,282,376,200,1572,40,127,453,466,364,40,73,248,51,361,9,2011,2036,1508,228,125,190,-,-,-,-,-,-,-,-,-,-,-,-,180,227,407,428,32,56,88,97,836,934,926,605000,274,480000,24,162,184,13,18,12,22,25,6,35,32,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195,37,30396,15,-,4865,81,1,3051,291,38,38322
11603,Mount Druitt,2021.0,3571,2082,481,216,6350,869,424,25,4,1322,867,162,22,8,1059,26,-,278,36,1213,289,430,240,1458,55,126,457,476,372,41,77,305,56,406,8,2205,2020,1562,245,130,188,545,538,232,7,-,-,630,304,121,6,5,3,203,37,240,241,43,8,51,52,303,355,1188,665000,438,440000,11,72,78,11,-,7,4,9,11,14,7,15,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.1,9.3,1.3,7.2,4,11.3,4.9,10.4,1.3,4.2,1,4.3,3.6,5.2,5.7,15,0.9,3,6.8,43405,171,55,30512,45,-,4910,14,-,3065,230,55,38497
11603,Mount Druitt,2022.0,3968,2118,518,242,6847,1194,371,28,6,1599,821,234,23,5,1090,37,-,294,36,1317,305,475,255,1503,58,145,507,518,443,43,87,350,62,413,4,2235,2332,1689,245,136,212,613,727,250,3,4,3,258,155,107,10,3,-,237,45,282,286,56,11,68,71,295,365,1261,784500,447,540000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,183,71,30624,20,-,4930,173,-,3238,376,71,38802
11603,Mount Druitt,2023.0,4236,2068,530,246,7080,1171,407,22,4,1604,1388,346,25,7,1766,34,-,312,34,1360,300,469,270,1586,50,165,508,529,451,40,85,387,51,441,8,2056,2478,1914,254,140,238,533,755,304,7,3,3,824,634,275,16,6,5,235,58,293,295,63,17,80,82,357,439,866,760000,321,513500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11603,Mount Druitt,2024.0,4450,2045,545,267,7312,1238,386,29,9,1660,1097,267,34,5,1408,28,-,297,32,1382,317,474,276,1734,53,155,519,546,422,46,94,445,57,430,3,2048,2519,2051,281,160,247,588,770,287,10,3,3,644,520,225,12,-,6,203,201,404,404,54,91,145,145,1801,1946,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11701,Botany,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,7.3,0.7,5.7,5.3,10.1,7.4,10,2.4,5.5,1.9,6.9,4,6.8,6.4,11.2,2,3.7,2.8,18395,-,-,-,-,-,-,-,-,-,-,-,-
11701,Botany,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,37,48,11,11,3,6,6,3,5,3,3,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,4.2,0.7,7.3,3.2,9.5,8.3,9.1,2.3,5.6,2.1,8.4,4.3,6.9,7.1,10.5,1.9,3.7,4.7,22978,-,-,-,-,-,-,-,-,-,-,-,-
11701,Botany,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,35,47,5,5,5,3,5,10,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,3,6098,28,-,2395,939,-,10714,1013,3,19348
11701,Botany,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,245,1540000,958,835000,13,43,59,9,9,11,5,6,9,6,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,4,6150,10,-,2405,1855,-,12569,1921,4,21265
11701,Botany,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,1783,1824,1824,24,567,590,591,376,967,198,1357000,720,815050,16,45,58,4,4,9,4,8,9,10,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,24,6188,63,-,2468,1970,-,14539,2095,24,23336
11701,Botany,2020.0,3620,1609,623,278,6130,-,-,-,-,-,-,-,-,-,-,23,-,296,23,1058,360,359,276,935,77,203,808,704,325,26,75,217,65,291,9,1550,1943,1869,339,172,257,-,-,-,-,-,-,-,-,-,-,-,-,32,84,116,116,20,34,54,60,593,653,225,1550000,897,825000,13,32,40,11,5,5,8,6,-,4,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,33,6199,23,2,2489,1414,6,15947,1481,41,24776
11701,Botany,2021.0,3599,1986,675,291,6551,784,359,18,7,1168,655,138,8,7,808,22,-,298,27,1206,393,383,305,914,77,234,841,772,334,33,78,244,66,315,9,1860,2030,1954,303,155,249,456,463,241,5,-,3,437,250,121,7,4,6,25,570,595,596,20,203,223,226,175,401,293,1660000,1063,820000,4,18,22,6,4,3,-,6,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,3.8,0.6,9,2.8,9.1,7.5,7.8,2.1,6.2,2.1,9.9,3.6,6.7,7.6,11.1,1.8,3.2,4.9,30467,32,36,6195,32,-,2521,1099,3,17043,1163,39,25900
11701,Botany,2022.0,3892,2072,690,296,6943,927,342,19,3,1288,684,200,28,8,918,25,-,310,33,1322,392,404,313,834,77,265,928,866,353,35,101,255,80,345,7,1828,2173,2159,344,179,263,444,577,254,9,-,3,183,131,66,9,3,3,34,417,451,455,34,140,174,179,413,592,311,1964000,1023,881000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,47,6173,33,-,2554,28,3,17068,86,50,25936
11701,Botany,2023.0,4082,2050,701,307,7140,891,330,10,3,1234,874,223,23,9,1129,23,-,309,28,1368,403,402,321,874,84,272,893,910,356,34,100,286,99,368,9,1644,2311,2304,400,206,275,386,599,238,6,3,3,489,396,217,9,3,3,24,447,471,471,29,182,211,215,525,740,221,1845000,809,840000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11701,Botany,2024.0,4381,2009,684,342,7416,1010,315,14,6,1337,764,215,24,8,1013,20,-,316,29,1427,412,397,322,945,89,302,917,920,402,37,98,310,85,369,7,1640,2386,2412,444,214,305,410,650,271,10,-,3,442,356,190,4,3,10,25,42,67,118,31,23,54,84,209,293,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11702,Marrickville - Sydenham - Petersham,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,5.6,0.6,4.3,4,7.7,6.7,4.3,5.6,6.3,1.5,11.9,4.2,7.2,10.3,10.9,3,3.6,2.2,27085,-,-,-,-,-,-,-,-,-,-,-,-
11702,Marrickville - Sydenham - Petersham,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,48,52,6,10,15,8,6,3,8,-,7,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.1,3.9,0.6,5.2,2.5,7.5,7.1,3.7,5.5,6.3,1.6,13,3.8,7,10.9,10.4,3.3,3.5,3.9,30278,-,-,-,-,-,-,-,-,-,-,-,-
11702,Marrickville - Sydenham - Petersham,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,43,55,5,-,9,10,10,5,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,22,6915,19,1,6547,116,-,10081,165,23,24082
11702,Marrickville - Sydenham - Petersham,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,472,1380000,408,786250,13,48,58,7,11,10,7,3,3,7,10,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,25,6921,31,-,6578,270,-,10351,332,25,24389
11702,Marrickville - Sydenham - Petersham,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,290,330,330,46,80,126,129,234,363,416,1295000,317,712000,3,37,43,-,3,9,-,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,15,6940,20,-,6598,222,-,10573,277,15,24651
11702,Marrickville - Sydenham - Petersham,2020.0,3676,1586,676,193,6131,-,-,-,-,-,-,-,-,-,-,23,-,413,12,699,324,438,319,430,206,200,752,1035,273,17,101,360,255,262,10,1494,2097,1991,311,117,121,-,-,-,-,-,-,-,-,-,-,-,-,29,559,588,588,45,145,190,200,57,257,495,1450000,502,770000,15,28,39,10,7,7,8,8,-,7,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,13,6955,4,3,6599,416,-,10989,449,16,25084
11702,Marrickville - Sydenham - Petersham,2021.0,3464,1916,710,193,6283,626,285,22,4,937,604,91,27,3,724,24,3,424,14,711,335,485,345,375,227,213,754,1066,277,18,115,367,256,264,10,1734,2043,2002,286,110,108,391,375,162,6,-,3,373,230,94,10,4,-,42,102,144,144,49,38,87,102,74,176,608,1630000,568,766000,10,17,26,-,5,5,-,3,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.1,3.5,0.6,5.1,2.1,6.9,5.9,3.5,5,7,1.4,15.3,2.9,7.1,10.7,12,3.3,3.4,4.1,31229,38,25,6968,10,-,6609,146,-,11135,195,25,25254
11702,Marrickville - Sydenham - Petersham,2022.0,3694,2021,701,196,6609,731,260,24,7,1019,553,170,31,8,759,20,3,418,12,769,336,515,381,334,248,209,768,1152,302,18,122,400,295,304,10,1686,2197,2157,333,121,120,371,429,207,6,3,3,251,162,90,5,-,-,25,365,390,390,55,178,233,243,113,356,612,1900000,501,845000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,27,6978,18,-,6627,428,-,11563,483,27,25710
11702,Marrickville - Sydenham - Petersham,2023.0,3721,1853,708,210,6492,669,246,20,7,942,730,218,39,7,994,24,3,419,13,745,310,477,386,326,254,201,755,1124,290,17,116,428,306,290,9,1417,2242,2214,362,128,129,269,459,197,14,3,-,455,324,174,11,3,3,26,180,206,206,70,74,144,148,187,335,531,1725000,369,792000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11702,Marrickville - Sydenham - Petersham,2024.0,3788,1840,682,220,6531,738,265,14,4,1023,732,178,28,5,947,23,3,406,7,744,290,480,391,335,231,219,787,1135,307,18,122,428,311,281,13,1385,2193,2300,378,136,136,320,458,220,14,3,3,406,322,209,15,3,3,27,33,60,60,66,14,80,90,51,141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11703,Sydney Inner City,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.2,3.6,0.5,3.1,3.8,7.5,9.9,3.1,6.2,9.9,1.8,16.6,4.4,5.7,7.6,8,3,2.8,2.2,100217,-,-,-,-,-,-,-,-,-,-,-,-
11703,Sydney Inner City,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,133,193,33,43,23,19,25,20,9,6,16,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,2.5,0.4,3.7,2.4,7.2,11.9,3,5.1,8.6,2.1,16.6,4.2,5.8,7.7,8.3,2.9,2.8,4.5,121214,-,-,-,-,-,-,-,-,-,-,-,-
11703,Sydney Inner City,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,154,209,38,36,23,24,37,16,9,9,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,21,2542,24,-,22842,2191,2,86438,2229,23,112456
11703,Sydney Inner City,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,881,1610000,4595,930000,54,147,200,30,52,21,24,40,21,3,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,18,2552,25,-,22867,2222,8,88652,2276,26,114706
11703,Sydney Inner City,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,1040,1086,1086,87,419,506,539,3992,4531,703,1401500,3494,885000,57,123,186,33,37,18,18,29,12,7,7,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,22,2569,64,6,22925,5956,5,94603,6070,33,120743
11703,Sydney Inner City,2020.0,44031,17438,7196,3022,71687,-,-,-,-,-,-,-,-,-,-,422,345,1266,232,4705,2508,3533,3713,1855,1743,11320,12084,16494,3631,143,1370,3132,1203,1824,164,18319,17154,25104,4983,2274,3853,-,-,-,-,-,-,-,-,-,-,-,-,28,767,795,795,91,309,400,442,2310,2752,836,1570000,4102,905000,40,93,132,22,30,17,14,21,12,6,3,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,21,2586,60,-,22985,3063,45,97621,3161,66,123838
11703,Sydney Inner City,2021.0,42994,20248,7440,3115,73797,7948,3071,326,68,11413,7366,1284,221,98,8969,418,328,1323,251,4741,2523,3665,3857,1738,1724,11794,12549,17087,3618,135,1424,3324,1227,1947,124,20733,17519,24968,4782,2139,3656,4955,3746,2355,191,70,96,4120,2350,1517,188,84,184,37,2208,2245,2250,106,1265,1370,1437,4402,5840,1069,1730000,5092,930000,41,59,102,17,22,9,15,16,9,7,9,8,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.1,2.5,0.5,4.3,2.2,7,8.2,3.2,4.2,10,2.1,18.8,3.6,5.7,7.8,9.5,2.9,2.6,4.7,131114,23,17,2592,57,-,23042,2367,35,99953,2448,52,126234
11703,Sydney Inner City,2022.0,45343,20610,7586,3103,76645,8897,3020,428,85,12422,7001,1895,316,95,9317,408,339,1345,297,4943,2458,3875,3972,1664,1764,12541,13341,17584,3611,129,1465,3487,1313,2028,96,20557,17915,26190,5346,2438,4200,4857,4151,2803,304,153,154,157,161,77,3,3,-,31,1084,1115,1194,97,584,681,782,2119,2902,1145,2000000,5316,982329,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,32,2586,29,3,23068,504,9,100448,561,44,126751
11703,Sydney Inner City,2023.0,47493,19594,7496,3447,78030,8123,2761,362,86,11332,7577,2185,355,102,10219,410,333,1316,342,5023,2460,3860,3975,1695,1780,13209,13654,17628,3648,118,1481,3662,1310,2012,114,19561,17984,27271,5637,3018,4559,4001,4203,2613,194,187,134,4615,2662,2005,262,90,165,14,1115,1129,1129,77,684,761,819,4246,5064,836,1817500,4725,941000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11703,Sydney Inner City,2024.0,51085,19047,7481,3803,81412,9399,2807,374,78,12653,7512,1787,315,86,9703,418,360,1346,394,5386,2504,3973,4024,1723,1821,14400,14269,18090,3723,131,1500,3870,1302,2075,92,20060,18539,28494,6418,2977,4924,4506,4633,3034,256,105,118,4600,2750,1872,242,85,149,21,702,723,723,97,647,744,816,2953,3770,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11801,Eastern Suburbs - North,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.3,3.6,0.4,4.7,4.6,7.4,6,2.5,5.7,10.8,2.8,17.9,4.1,3.8,7.3,9.8,2.6,2.8,2.6,63558,-,-,-,-,-,-,-,-,-,-,-,-
11801,Eastern Suburbs - North,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,43,90,16,23,10,3,8,12,5,6,12,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.2,2.5,0.4,5.2,2.8,6.9,6.4,2.5,5,10.2,3.5,18.2,4.2,3.7,7.5,10.1,2.7,2.8,4.9,67606,-,-,-,-,-,-,-,-,-,-,-,-
11801,Eastern Suburbs - North,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,50,90,18,16,7,10,11,6,3,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103,65,10559,38,9,11657,598,8,37562,741,82,60138
11801,Eastern Suburbs - North,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,969,3075000,1819,1280000,45,73,115,17,27,8,13,17,8,3,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,79,10573,45,3,11699,460,5,38017,600,87,60651
11801,Eastern Suburbs - North,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104,591,695,695,395,368,763,816,139,955,912,2900000,1492,1180000,40,45,84,14,21,12,7,4,7,3,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,84,10595,51,10,11740,463,6,38474,622,100,61173
11801,Eastern Suburbs - North,2020.0,14039,5224,1424,437,21124,-,-,-,-,-,-,-,-,-,-,183,23,353,31,1512,686,1282,850,616,665,2178,3411,4445,972,35,406,2029,662,758,27,5328,6960,7485,877,261,213,-,-,-,-,-,-,-,-,-,-,-,-,81,260,341,341,303,168,471,514,1386,1900,1013,3020000,1933,1251000,33,41,70,15,18,4,4,4,8,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,98,10592,52,9,11783,331,11,38794,478,118,61533
11801,Eastern Suburbs - North,2021.0,13674,6273,1512,407,21866,2672,785,62,6,3525,2296,296,49,11,2652,185,21,357,40,1558,692,1373,868,543,697,2386,3528,4594,996,38,435,2085,665,786,19,5950,7268,7373,853,222,200,1282,1508,697,28,6,4,1300,843,445,29,21,8,61,242,303,303,343,152,495,550,205,755,1244,3700000,2494,1400000,12,21,35,6,7,-,4,-,3,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.2,2.4,0.5,5.6,2.5,6.4,4.8,2.3,4.1,11.8,3.8,20,3.6,3.7,7.1,10.7,2.4,2.5,5.3,69570,81,103,10570,53,10,11826,311,8,39097,445,121,61857
